time,rotor angular position
0,0.549451
0.01,0.961657
0.02,2.139961
0.03,3.995533
0.04,6.438845
0.05,9.380945
0.06,12.734604
0.07,16.415334
0.08,20.342265
0.09,24.438895
0.1,28.63371
0.11,32.860674
0.12,37.0596
0.13,41.176409
0.14,45.163277
0.15,48.978686
0.16,52.58739
0.17,55.960286
0.18,59.074231
0.19,61.911782
0.2,64.460893
0.21,66.714561
0.22,68.670443
0.23,70.330444
0.24,71.700286
0.25,72.789067
0.26,73.60882
0.27,74.174068
0.28,74.501389
0.29,74.609002
0.3,74.516361
0.31,74.243775
0.32,73.812051
0.33,73.242168
0.34,72.554976
0.35,71.770925
0.36,70.909829
0.37,69.990658
0.38,69.031361
0.39,68.04872
0.4,67.058239
0.41,66.074048
0.42,65.108851
0.43,64.173885
0.44,63.278908
0.45,62.432212
0.46,61.640644
0.47,60.909656
0.48,60.243363
0.49,59.644613
0.5,59.11507
0.51,58.655306
0.52,58.264893
0.53,57.942508
0.54,57.686035
0.55,57.492667
0.56,57.359013
0.57,57.281196
0.58,57.254954
0.59,57.275735
0.6,57.338782
0.61,57.439221
0.62,57.572137
0.63,57.732642
0.64,57.915942
0.65,58.11739
0.66,58.332537
0.67,58.557171
0.68,58.787355
0.69,59.019447
0.7,59.250132
0.71,59.476423
0.72,59.695683
0.73,59.905615
0.74,60.104271
0.75,60.290039
0.76,60.461635
0.77,60.618088
0.78,60.758725
0.79,60.883151
0.8,60.991225
0.81,61.083045
0.82,61.158915
0.83,61.219329
0.84,61.26494
0.85,61.29654
0.86,61.315037
0.87,61.321427
0.88,61.316775
0.89,61.302196
0.9,61.278831
0.91,61.247832
0.92,61.210344
0.93,61.167492
0.94,61.120365
0.95,61.070006
0.96,61.017405
0.97,60.963485
0.98,60.909101
0.99,60.855031
1,60.801977
1.01,60.750559
1.02,60.701316
1.03,60.654706
1.04,60.61111
1.05,60.570829
1.06,60.534092
1.07,60.501059
1.08,60.471823
1.09,60.446419
1.1,60.424824
1.11,60.406969
1.12,60.392739
1.13,60.381981
1.14,60.374509
1.15,60.370114
1.16,60.36856
1.17,60.369599
1.18,60.372969
1.19,60.378404
1.2,60.385634
1.21,60.394389
1.22,60.404407
1.23,60.415432
1.24,60.427219
1.25,60.439536
1.26,60.452167
1.27,60.46491
1.28,60.477583
1.29,60.490022
1.3,60.50208
1.31,60.513631
1.32,60.524566
1.33,60.534798
1.34,60.544253
1.35,60.552879
1.36,60.560638
1.37,60.567507
1.38,60.573479
1.39,60.578558
1.4,60.58276
1.41,60.586111
1.42,60.588649
1.43,60.590415
1.44,60.59146
1.45,60.591837
1.46,60.591605
1.47,60.590826
1.48,60.589562
1.49,60.587876
1.5,60.585831
1.51,60.583489
1.52,60.58091
1.53,60.578152
1.54,60.575267
1.55,60.572309
1.56,60.569323
1.57,60.566352
1.58,60.563436
1.59,60.560608
1.6,60.557899
1.61,60.555333
1.62,60.552932
1.63,60.550713
1.64,60.548687
1.65,60.546865
1.66,60.545251
1.67,60.543847
1.68,60.542653
1.69,60.541664
1.7,60.540874
1.71,60.540276
1.72,60.539858
1.73,60.53961
1.74,60.539519
1.75,60.53957
1.76,60.53975
1.77,60.540044
1.78,60.540437
1.79,60.540915
1.8,60.541462
1.81,60.542066
1.82,60.542711
1.83,60.543387
1.84,60.54408
1.85,60.544779
1.86,60.545476
1.87,60.546159
1.88,60.546822
1.89,60.547458
1.9,60.54806
1.91,60.548623
1.92,60.549144
1.93,60.54962
1.94,60.550048
1.95,60.550427
1.96,60.550757
1.97,60.551038
1.98,60.551271
1.99,60.551457
2,60.551598