time,Motor Speed,Tacho output
0,0,0
0.01,2.491351,0.012457
0.02,4.745618,0.023728
0.03,6.785363,0.033927
0.04,8.631001,0.043155
0.05,10.301003,0.051505
0.06,11.812084,0.05906
0.07,13.179366,0.065897
0.08,14.416534,0.072083
0.09,15.53597,0.07768
0.1,16.548878,0.082744
0.11,17.465394,0.087327
0.12,18.294693,0.091473
0.13,19.045073,0.095225
0.14,19.724045,0.09862
0.15,20.338405,0.101692
0.16,20.8943,0.104472
0.17,21.397295,0.106986
0.18,21.852424,0.109262
0.19,22.264241,0.111321
0.2,22.636869,0.113184
0.21,22.974037,0.11487
0.22,23.279119,0.116396
0.23,23.555168,0.117776
0.24,23.804948,0.119025
0.25,24.030959,0.120155
0.26,24.235461,0.121177
0.27,24.420503,0.122103
0.28,24.587935,0.12294
0.29,24.739434,0.123697
0.3,24.876516,0.124383
0.31,25.000553,0.125003
0.32,25.112787,0.125564
0.33,25.21434,0.126072
0.34,25.306229,0.126531
0.35,25.389373,0.126947
0.36,25.464605,0.127323
0.37,25.532678,0.127663
0.38,25.594273,0.127971
0.39,25.650007,0.12825
0.4,25.700436,0.128502
0.41,25.746067,0.12873
0.42,25.787355,0.128937
0.43,25.824715,0.129124
0.44,25.858519,0.129293
0.45,25.889106,0.129446
0.46,25.916782,0.129584
0.47,25.941825,0.129709
0.48,25.964485,0.129822
0.49,25.984988,0.129925
0.5,26.00354,0.130018
0.51,26.020326,0.130102
0.52,26.035515,0.130178
0.53,26.049259,0.130246
0.54,26.061695,0.130308
0.55,26.072947,0.130365
0.56,26.083129,0.130416
0.57,26.092342,0.130462
0.58,26.100678,0.130503
0.59,26.10822,0.130541
0.6,26.115045,0.130575
0.61,26.121221,0.130606
0.62,26.126808,0.130634
0.63,26.131864,0.130659
0.64,26.136439,0.130682
0.65,26.140579,0.130703
0.66,26.144324,0.130722
0.67,26.147714,0.130739
0.68,26.15078,0.130754
0.69,26.153555,0.130768
0.7,26.156066,0.13078
0.71,26.158338,0.130792
0.72,26.160393,0.130802
0.73,26.162253,0.130811
0.74,26.163936,0.13082
0.75,26.165459,0.130827
0.76,26.166837,0.130834
0.77,26.168084,0.13084
0.78,26.169212,0.130846
0.79,26.170233,0.130851
0.8,26.171156,0.130856
0.81,26.171992,0.13086
0.82,26.172748,0.130864
0.83,26.173433,0.130867
0.84,26.174052,0.13087
0.85,26.174612,0.130873
0.86,26.175119,0.130876
0.87,26.175578,0.130878
0.88,26.175993,0.13088
0.89,26.176368,0.130882
0.9,26.176708,0.130884
0.91,26.177015,0.130885
0.92,26.177294,0.130886
0.93,26.177545,0.130888
0.94,26.177773,0.130889
0.95,26.177979,0.13089
0.96,26.178166,0.130891
0.97,26.178334,0.130892
0.98,26.178487,0.130892
0.99,26.178625,0.130893
1,26.17875,0.130894
1.01,26.178863,0.130894
1.02,26.178966,0.130895
1.03,26.179058,0.130895
1.04,26.179142,0.130896
1.05,26.179218,0.130896
1.06,26.179286,0.130896
1.07,26.179349,0.130897
1.08,26.179405,0.130897
1.09,26.179456,0.130897
1.1,26.179502,0.130898
1.11,26.179543,0.130898
1.12,26.179581,0.130898
1.13,26.179615,0.130898
1.14,26.179646,0.130898
1.15,26.179674,0.130898
1.16,26.179699,0.130898
1.17,26.179722,0.130899
1.18,26.179742,0.130899
1.19,26.179761,0.130899
1.2,26.179778,0.130899
1.21,26.179793,0.130899
1.22,26.179807,0.130899
1.23,26.17982,0.130899
1.24,26.179831,0.130899
1.25,26.179841,0.130899
1.26,26.179851,0.130899
1.27,26.179859,0.130899
1.28,26.179867,0.130899
1.29,26.179873,0.130899
1.3,26.17988,0.130899
1.31,26.179885,0.130899
1.32,26.17989,0.130899
1.33,26.179895,0.130899
1.34,26.179899,0.130899
1.35,26.179903,0.1309
1.36,26.179906,0.1309
1.37,26.179909,0.1309
1.38,26.179912,0.1309
1.39,26.179915,0.1309
1.4,26.179917,0.1309
1.41,26.179919,0.1309
1.42,26.179921,0.1309
1.43,26.179923,0.1309
1.44,26.179924,0.1309
1.45,26.179926,0.1309
1.46,26.179927,0.1309
1.47,26.179928,0.1309
1.48,26.179929,0.1309
1.49,26.17993,0.1309
1.5,26.179931,0.1309
1.51,26.179932,0.1309
1.52,26.179932,0.1309
1.53,26.179933,0.1309
1.54,26.179933,0.1309
1.55,26.179934,0.1309
1.56,26.179934,0.1309
1.57,26.179935,0.1309
1.58,26.179935,0.1309
1.59,26.179936,0.1309
1.6,26.179936,0.1309
1.61,26.179936,0.1309
1.62,26.179936,0.1309
1.63,26.179937,0.1309
1.64,26.179937,0.1309
1.65,26.179937,0.1309
1.66,26.179937,0.1309
1.67,26.179937,0.1309
1.68,26.179937,0.1309
1.69,26.179938,0.1309
1.7,26.179938,0.1309
1.71,26.179938,0.1309
1.72,26.179938,0.1309
1.73,26.179938,0.1309
1.74,26.179938,0.1309
1.75,26.179938,0.1309
1.76,26.179938,0.1309
1.77,26.179938,0.1309
1.78,26.179938,0.1309
1.79,26.179938,0.1309
1.8,26.179938,0.1309
1.81,26.179938,0.1309
1.82,26.179938,0.1309
1.83,26.179938,0.1309
1.84,26.179939,0.1309
1.85,26.179939,0.1309
1.86,26.179939,0.1309
1.87,26.179939,0.1309
1.88,26.179939,0.1309
1.89,26.179939,0.1309
1.9,26.179939,0.1309
1.91,26.179939,0.1309
1.92,26.179939,0.1309
1.93,26.179939,0.1309
1.94,26.179939,0.1309
1.95,26.179939,0.1309
1.96,26.179939,0.1309
1.97,26.179939,0.1309
1.98,26.179939,0.1309
1.99,26.179939,0.1309
2,26.179939,0.1309